

gen best mean std
0 70.001507 -3.039189 8.920395
1 70.001507 -0.5829 10.577471
2 70.001507 1.079615 12.770879
3 70.001507 5.602537 16.495423
4 70.001507 7.70657 17.31362
5 70.001507 11.104807 18.687276
6 77.246599 16.138099 21.127686
7 77.246599 19.307087 21.557159

gen best mean std
7 77.246599 19.307087 21.557159
8 77.246599 18.716622 20.922638
9 77.246599 18.492216 22.14073
10 77.246599 20.619774 20.980643
11 77.246599 21.961483 21.72012
12 77.246599 24.238178 23.605603
13 77.246599 26.228225 23.13755
14 77.246599 26.93694 22.970437
15 77.246599 26.144728 22.398672
16 77.246599 27.684084 22.292939
17 77.246599 27.772479 23.650772
18 77.246599 28.962841 23.280175
19 77.246599 28.215972 22.843213
20 77.246599 32.740392 21.644254
21 77.826904 29.415841 22.571864
22 77.826904 28.797341 23.21666
23 77.826904 30.355654 23.836393
24 77.826904 28.257522 23.480053
25 77.826904 28.704534 23.634875
26 77.826904 31.437837 23.367732
27 77.826904 29.452022 23.155544
28 77.826904 29.563379 22.961639
29 77.826904 30.286064 22.343733
